,filepath,label
0,../Data/preprocessed\cat - abyssinian\Abyssinian_100_jpg.rf.036597cea7188bcb36a86dc36e9f0966.jpg,cat - abyssinian
1,../Data/preprocessed\cat - abyssinian\Abyssinian_100_jpg.rf.054df19bcdcbff91fb181d5ea87e069a.jpg,cat - abyssinian
2,../Data/preprocessed\cat - abyssinian\Abyssinian_100_jpg.rf.25a22a77278f66c90957483567415e2c.jpg,cat - abyssinian
3,../Data/preprocessed\cat - abyssinian\Abyssinian_101_jpg.rf.035470a5a9c9e46ea0c57dcf67f210a7.jpg,cat - abyssinian
4,../Data/preprocessed\cat - abyssinian\Abyssinian_101_jpg.rf.6aa19e6ab9e3e83f9e8ceab6f130d217.jpg,cat - abyssinian
5,../Data/preprocessed\cat - abyssinian\Abyssinian_101_jpg.rf.aa64f62c9616198019950b3d6b3a2f99.jpg,cat - abyssinian
6,../Data/preprocessed\cat - abyssinian\Abyssinian_102_jpg.rf.3f0eac61d300a474a485a4c2c79581b8.jpg,cat - abyssinian
7,../Data/preprocessed\cat - abyssinian\Abyssinian_102_jpg.rf.94bfcb8ec7e2e534e81a9d066e65dfef.jpg,cat - abyssinian
8,../Data/preprocessed\cat - abyssinian\Abyssinian_102_jpg.rf.e95b0663ec92fd5e6f9e5b0dcfce7e0b.jpg,cat - abyssinian
9,../Data/preprocessed\cat - abyssinian\Abyssinian_103_jpg.rf.6b1843c3b8b97a403126f55821634bf6.jpg,cat - abyssinian
10,../Data/preprocessed\cat - abyssinian\Abyssinian_103_jpg.rf.89d1ad2e1c0688f1fdd79bd701b8d5a5.jpg,cat - abyssinian
11,../Data/preprocessed\cat - abyssinian\Abyssinian_104_jpg.rf.0d18651da46419d6259e7f3b58655328.jpg,cat - abyssinian
12,../Data/preprocessed\cat - abyssinian\Abyssinian_104_jpg.rf.2c2b372d3c91c044204803cc100113d4.jpg,cat - abyssinian
13,../Data/preprocessed\cat - abyssinian\Abyssinian_104_jpg.rf.efbe3196862f3e831eec89c7a34b454b.jpg,cat - abyssinian
14,../Data/preprocessed\cat - abyssinian\Abyssinian_105_jpg.rf.009db4910a843d87c7d9ee5c98086c7d.jpg,cat - abyssinian
15,../Data/preprocessed\cat - abyssinian\Abyssinian_105_jpg.rf.8833dbdf6da21f1bbe52caa48d20aacb.jpg,cat - abyssinian
